main_office,school_name,school_type1,school_type2,school_type3,남여,기숙사제공여부,통학버스제공여부,교장실,교무실,행정실,취업지도실,FAX,홈페이지,우편번호,주소,상세주소
서울특별시교육청,경기기계공업고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,02-2289-1601,02-2289-1610,02-2289-1785,02-2289-1660,02-948-0141,ggmt.sen.hs.kr,01810,서울특별시 노원구 공릉로 264,경기기계공업고등학교 (하계동)
서울특별시교육청,경기상업고등학교,특성화고,상업·정보,공립,남녀공학,미제공,미제공,02-737-3051,02-737-6490,02-737-0583,02-737-0556,02-720-2635,ggc.sen.hs.kr,03047,서울특별시 종로구 자하문로 136,136
서울특별시교육청,경복비즈니스고등학교,특성화고,상업·정보,사립,여,미입력,미입력,070-7790-0900,070-7790-0902,070-7790-0991,070-7790-0972,02-3661-3439,kbb.sen.hs.kr,157030,서울특별시 강서구 등촌동 화곡로,379
서울특별시교육청,고명외식고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,02-921-5536,02-928-8366(161),02-926-2886,02-928-8366(196),02-924-6059,komyung.sen.hs.kr,02828,서울특별시 성북구 북악산로 870,고명외식고등학교
서울특별시교육청,광신방송예술고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,02-881-8610,02-881-8612,02-881-8509,02-881-8619,02-881-8637,ksmedia.sen.hs.kr/,151863,서울특별시 관악구 신림동 광신길,141 (지번주소 : 관악구 삼성동 328번지)
서울특별시교육청,광운인공지능고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,02-918-7761,02-918-7761,02-918-7763,02-918-7761(내:137),02-918-0070,kwangwoon.sen.hs.kr,01890,서울특별시 노원구 광운로1길 24,광운인공지능고등학교 (월계동)
서울특별시교육청,단국대학교부속소프트웨어고등학교,특성화고,공업,사립,남,미입력,미입력,02-2116-0100,02-2116-0124,02-2116-0108,02-2116-0159,02-2116-0176,dankook.sen.hs.kr,135852,서울특별시 강남구 대치동 도곡로64길,21 단국대학교부속소프트웨어고등학교
서울특별시교육청,대경생활과학고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,02-6325-4601,02-6325-4603,02-2234-0798,02-6325-4607,02-2252-6274,daekyeong.sen.hs.kr,04592,서울특별시 중구 매봉18길 111,(신당동 333-579)
서울특별시교육청,대동세무고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,070-8685-5701,02-763-1630,02-763-1631,02-763-1633,02-762-5552,daedong.sen.hs.kr,03057,서울특별시 종로구 계동길 84-10,대동세무고등학교 (계동)
서울특별시교육청,대일관광고등학교,특성화고,상업·정보,사립,여,미입력,미입력,070-4377-8801,02-6112-1704,02-6112-1757,02-6112-1708,02-2603-7843,daeil-tour.sen.hs.kr,08051,서울특별시 양천구 신정이펜1로 11,대일관광고등학교
서울특별시교육청,대진디자인고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,070-7816-9101,070-7816-9184,02-2226-8418,070-7816-9157,02-2226-4863,daejindesign.sen.hs.kr,135886,서울특별시 강남구 수서동 광평로39길,93
서울특별시교육청,덕일전자공업고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,02-2613-2763,02-2613-2762,02-2613-2761,02-2685-6009,02-2681-0528,di.sen.hs.kr,152899,서울특별시 구로구 오류동 서해안로21길,5-12
서울특별시교육청,동명생활경영고등학교,특성화고,상업·정보,사립,여,미입력,미입력,02-383-2628,02-383-2628,02-355-6853,02-383-2628,02-389-5011,dmgcab.sen.hs.kr,03390,서울특별시 은평구 통일로 793,동명생활경영고등학교
서울특별시교육청,리라아트고등학교,특성화고,공업,사립,남녀공학,미제공,미제공,02-775-6541,02-775-6541,02-775-6545,02-775-6544,02-757-3231,lila.sen.hs.kr,100250,서울특별시 중구 예장동 소파로2길,24
서울특별시교육청,미래산업과학고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,02-933-7852,02-933-7671,02-933-7853,02-6921-8423,02-933-7854,mist.sen.hs.kr,139859,서울특별시 노원구 중계동 덕릉로82길,54(중계4동 369-3)
서울특별시교육청,미림마이스터고등학교,마이스터고,공업,사립,여,미입력,미입력,02-886-1815,02-872-4071,02-886-1812,02-888-8350,02-878-2188,www.e-mirim.hs.kr/,08821,서울특별시 관악구 호암로 546,미림마이스터고등학교 (신림동)
서울특별시교육청,상일미디어고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,02-428-0731,02-428-0732,02-428-0732(334),02-428-0732(320),02-3427-0733,sangilmedia.sen.hs.kr,134837,서울 강동구 상일동,천호대로219길 61
서울특별시교육청,서서울생활과학고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,,02-2613-5273,02-2613-5272,02-2613-5530,02-2612-0554,ssls.sen.hs.kr/,08248,서울특별시 구로구 오리로 1355-10,서서울생활과학고등학교
서울특별시교육청,서울공업고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,02-2082-1803,02-2082-1814,02-2082-1812,02-2082-1901,02-825-2033,seoul-th.sen.hs.kr,06955,서울특별시 동작구 대방동1길 46,서울공업고등학교
서울특별시교육청,서울관광고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,02-6292-5202,02-6292-5277,02-6292-5203,02-6292-5283,02-872-9170,seoul-tour.sen.hs.kr,151826,서울특별시 관악구 봉천동 은천로15길,25 서울관광고등학교
서울특별시교육청,서울금융고등학교,특성화고,상업·정보,공립,남녀공학,미입력,미입력,02-2694-1371,02-2694-8834,02-2694-3710,02-2693-1126 (fax)02-2697-6801,02-2694-3604,seoulfc.sen.hs.kr,158823,서울특별시 양천구 신월동 가로공원로61길,서울금융고등학교
서울특별시교육청,서울도시과학기술고등학교,마이스터고,공업,공립,남녀공학,미입력,미입력,02-940-2503,02-940-2500,02-940-2680,02-940-2550~6,02-940-2507,sust.sen.hs.kr,136858,서울특별시 성북구 종암동 종암로,196
